iso3,weight
ABW,1e-10
AFG,20.9
AGO,2240.4
AIA,1e-10
ALB,75.4
AND,1e-10
ARE,16.2
ARG,2849.4
ARM,29.1
ASM,1e-10
ATG,1e-10
AUS,9143.8
AUT,1126
AZE,126.5
BDI,19.2
BEL,169.1
BEN,150.4
BES,1e-10
BFA,218.5
BGD,69.2
BGR,727.8
BHR,1
BHS,46.1
BIH,359.6
BLM,1e-10
BLR,1760.2
BLZ,217.5
BMU,1e-10
BOL,4130.3
BRA,124061.6
BRB,1
BRN,69.5
BTN,672.8
BWA,748.5
CAF,3754
CAN,32748.3
CHE,441.6
CHL,2997.4
CHN,15661.5
CIV,2625.3
CMR,5803
COD,35082.9
COG,4524.7
COK,1e-10
COL,8897.7
COM,1e-10
CPV,12
CRI,285.2
CUB,281.1
CUW,1e-10
CYM,1e-10
CYP,9
CZE,808.2
DEU,3801.5
DJI,1
DMA,3
DNK,111.6
DOM,121.7
DZA,108.3
ECU,1319.9
EGY,8.1
ERI,1e-10
ESH,1e-10
ESP,965.8
EST,440.5
ETH,243.4
FIN,2194
FJI,65
FLK,1e-10
FRA,2697.3
FRO,1e-10
FSM,1e-10
GAB,4896.1
GBR,397.5
GEO,478.1
GGY,1e-10
GHA,257.9
GIB,1e-10
GIN,490
GLP,1e-10
GMB,19
GNB,58.9
GNQ,259
GRC,193.2
GRD,1e-10
GRL,1e-10
GTM,542
GUF,2824.7
GUM,1e-10
GUY,2206.8
HND,556.3
HRV,436
HTI,6.1
HUN,374
IDN,10347
IMN,1e-10
IND,5830.9
IRL,83.3
IRN,543.2
IRQ,40
ISL,1e-10
ISR,5.9
ITA,1510.7
JAM,52
JEY,1e-10
JOR,2.9
JPN,2430.8
KAZ,363.6
KEN,605.4
KGZ,60.9
KHM,896.3
KIR,1e-10
KNA,1e-10
KOR,718
KWT,1
LAO,898.3
LBN,5
LBR,656.1
LBY,8
LCA,1.1
LIE,1e-10
LKA,36.1
LSO,3
LTU,476.2
LUX,26
LVA,698.1
MAF,1e-10
MAR,188.3
MCO,1e-10
MDA,48.5
MDG,2092.6
MDV,1
MEX,2825.3
MHL,1e-10
MKD,76
MLI,236.8
MLT,1e-10
MMR,1349.9
MNE,71
MNG,1372.6
MNP,1e-10
MOZ,1384.2
MRT,4
MSR,1e-10
MTQ,15.1
MUS,3
MWI,335
MYS,4105.9
MYT,1e-10
NAM,1e-10
NCL,53
NER,11.6
NFK,1e-10
NGA,892.8
NIC,408.1
NIU,1e-10
NLD,74.5
NOR,1077.5
NPL,647.5
NRU,1e-10
NZL,3637.5
OMN,1
PAK,136.4
PAN,651.2
PCN,1e-10
PER,8069.6
PHL,1285.6
PLW,1e-10
PNG,2653.2
POL,2220.7
PRI,1e-10
PRK,318.9
PRT,184.8
PRY,1664
PSE,1e-10
PYF,11.4
QAT,1
REU,17
ROU,1426.9
RUS,82116.6
RWA,87.2
SAU,7.9
SDN,970.6
SEN,307.7
SGP,0.3
SHN,1e-10
SJM,1e-10
SLB,203.7
SLE,104
SLV,17.3
SMR,1e-10
SOM,160.3
SPM,1e-10
SRB,568.5
SSD,1e-10
STP,5
SUR,3386.3
SVK,536.9
SVN,459.7
SWE,3437.4
SWZ,18.6
SXM,1e-10
SYC,1e-10
SYR,16.2
TCA,1e-10
TCD,202.9
TGO,6.4
THA,774.9
TJK,4.9
TKL,1e-10
TKM,15.1
TLS,82.9
TON,1
TTO,22.9
TUN,28.4
TUR,1600.6
TUV,1e-10
TZA,1157.5
UGA,112.6
UKR,2266.4
URY,136.5
USA,48822.3
UZB,28
VAT,1e-10
VCT,2
VEN,6506.8
VGB,1e-10
VIR,1e-10
VNM,886.1
VUT,28
WLF,1e-10
WSM,16
YEM,4.8
ZAF,676.5
ZMB,2707.5
ZWE,532.7
